采样点,时间(s),髋关节 (Hip)_人体角度(°),髋关节 (Hip)_外骨骼角度(°),髋关节 (Hip)_误差(°),膝关节 (Knee)_人体角度(°),膝关节 (Knee)_外骨骼角度(°),膝关节 (Knee)_误差(°),踝关节 (Ankle)_人体角度(°),踝关节 (Ankle)_外骨骼角度(°),踝关节 (Ankle)_误差(°),
1,0.0,0.20,0.15,0.04,0.09,0.07,0.02,0.00,0.00,0.00,
2,0.4,0.54,0.42,0.12,0.61,0.49,0.12,0.06,0.05,0.01,
3,0.8,1.22,0.95,0.27,1.57,1.26,0.31,0.51,0.40,0.11,
4,1.3,2.60,2.08,0.52,3.55,2.81,0.73,0.83,0.64,0.19,
5,1.7,4.83,3.80,1.03,6.48,5.14,1.34,1.35,1.04,0.30,
6,2.1,7.11,5.63,1.47,9.85,7.84,2.01,2.38,1.84,0.54,
7,2.5,10.15,8.04,2.11,13.69,10.83,2.86,3.58,2.77,0.81,
8,2.9,13.67,10.70,2.97,17.81,14.35,3.46,4.42,3.43,0.99,
9,3.4,16.80,13.18,3.62,22.79,18.15,4.64,5.61,4.34,1.27,
10,3.8,20.61,16.39,4.22,27.44,22.21,5.23,6.81,5.32,1.49,
11,4.2,24.52,19.19,5.34,32.23,25.59,6.65,7.89,6.11,1.78,
12,4.6,27.92,22.18,5.74,37.59,30.44,7.15,9.41,7.26,2.15,
13,5.1,31.78,24.81,6.97,42.14,33.72,8.42,10.33,8.13,2.21,
14,5.5,34.98,27.87,7.12,46.56,37.29,9.28,11.40,8.97,2.43,
15,5.9,37.56,29.62,7.94,50.29,40.01,10.28,12.52,9.71,2.82,
16,6.3,40.10,31.40,8.70,53.57,43.23,10.34,13.30,10.24,3.06,
17,6.7,42.36,33.63,8.74,56.21,44.61,11.60,13.87,10.81,3.06,
18,7.2,43.75,34.96,8.79,58.39,46.37,12.03,14.39,11.27,3.12,
19,7.6,44.85,35.04,9.81,59.50,47.39,12.11,14.80,11.44,3.37,
20,8.0,44.96,35.57,9.39,59.95,48.26,11.69,15.04,11.82,3.22,

关节,,δ(%),η(%)
髋关节 (Hip),,13.01,86.99
膝关节 (Knee),,12.38,87.62
踝关节 (Ankle),,13.54,86.46
综合,,,87.03
